127.0.0.1, 2016-02-28 15:52:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-02-28 15:53:02, GET, /admin/default/design/lib, HTTP/1.1, 200, 0.109000
127.0.0.1, 2016-02-28 15:53:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-02-28 15:53:04, GET, /admin/default/peek/lib/views/appadmin.html, HTTP/1.1, 200, 0.076000
127.0.0.1, 2016-02-28 15:53:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-02-28 15:53:13, GET, /admin/default/design/lib, HTTP/1.1, 200, 0.180000
127.0.0.1, 2016-02-28 15:53:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-02-28 15:55:57, GET, /admin/default/peek/lib/controllers/appadmin.py, HTTP/1.1, 200, 0.108000
127.0.0.1, 2016-02-28 15:55:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-02-28 16:03:44, GET, /admin/default/design/lib, HTTP/1.1, 200, 0.121000
127.0.0.1, 2016-02-28 16:03:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-02-28 16:03:51, GET, /admin/default/edit/lib/controllers/default.py, HTTP/1.1, 200, 0.164000
127.0.0.1, 2016-02-28 16:03:51, GET, /admin/static/_2.13.4/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-02-28 16:03:51, GET, /admin/static/_2.13.4/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-02-28 16:03:51, GET, /admin/static/_2.13.4/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.024000
127.0.0.1, 2016-02-28 16:03:51, GET, /admin/static/_2.13.4/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-02-28 16:03:51, GET, /admin/static/_2.13.4/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.004000

127.0.0.1, 2016-02-28 16:03:51, GET, /admin/static/_2.13.4/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2016-02-28 16:03:51, GET, /admin/static/_2.13.4/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2016-02-28 16:03:51, GET, /admin/static/_2.13.4/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-02-28 16:03:51, GET, /admin/static/_2.13.4/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-02-28 16:03:51, GET, /admin/static/_2.13.4/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-02-28 16:03:51, GET, /admin/static/_2.13.4/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-02-28 16:03:51, GET, /admin/static/_2.13.4/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-02-28 16:03:51, GET, /admin/static/_2.13.4/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.024000
127.0.0.1, 2016-02-28 16:03:51, GET, /admin/static/_2.13.4/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.016000
127.0.0.1, 2016-02-28 16:03:51, GET, /admin/static/_2.13.4/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-02-28 16:03:51, GET, /admin/static/_2.13.4/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.004000
